id,district,registered_voters,valid_votes ,invalid_votes ,total_votes ,museveni,amuriat,kabuleta,kalembe,katumba,kyagulanyi,mao,mayambala,muntu,mwesigye,tumukunde,winner
80,LYANTONDE,51076,32271,798,33069,23967,117,61,30,69,7726,25,24,137,57,58,yoweri
81,AMUDAT,43647,31207,246,31453,30451,47,4,6,6,625,7,4,10,20,27,yoweri
82,BUIKWE,235640,125779,5430,131209,40900,1039,219,314,382,81852,388,68,259,152,206,kyagulanyi
83,BUYENDE,138849,80831,4134,84965,47916,624,298,516,209,30252,130,64,266,163,393,yoweri
84,KYEGEGWA,138528,81529,3040,84569,69129,451,60,103,171,10656,74,25,422,100,338,yoweri
85,LAMWO,65223,33841,2837,36678,19322,1183,545,679,220,8621,1981,185,403,250,452,yoweri
86,OTUKE,48541,32078,1941,34019,25464,502,195,124,143,4949,175,63,165,73,225,yoweri
87,ZOMBO,123432,59906,4685,64591,45578,1260,421,434,310,9111,1176,207,498,305,606,yoweri
88,ALEBTONG,115804,65620,3207,68827,42832,1920,604,425,297,16794,446,419,634,389,860,yoweri
89,BULAMBULI,71664,51021,1539,52560,38972,700,65,132,43,10788,57,16,57,87,104,yoweri
90,BUVUMA,42415,21057,848,21905,6814,208,25,106,68,13572,98,14,62,43,47,kyagulanyi
91,GOMBA,81314,54080,1564,55644,24568,71,33,43,71,29017,50,16,76,46,89,kyagulanyi
92,KIRYANDONGO,125685,55031,4662,59693,38083,894,492,175,150,13893,527,67,258,204,288,yoweri
93,KYANKWANZI,108311,65356,2509,67865,39859,163,77,94,112,24529,74,21,134,138,155,yoweri
94,LUUKA,116094,60933,2450,63383,27520,361,73,487,107,31842,107,34,137,82,183,kyagulanyi
95,NAMAYINGO,107234,57882,3110,60992,27341,1011,281,404,178,27651,129,165,227,253,242,kyagulanyi
96,NTOROKO,38098,24526,756,25282,19670,89,61,68,47,4212,28,11,187,50,103,yoweri
97,SERERE,130290,75276,3876,79152,38555,26722,1200,414,232,6013,251,123,617,378,771,yoweri
98,BUKOMANSIMBI,76557,46384,1207,47591,13649,118,30,42,92,32155,106,18,52,34,88,kyagulanyi
99,BUTAMBALA,55813,36587,1135,37722,9379,83,22,45,59,26806,47,16,49,38,43,kyagulanyi
100,KALUNGU,88687,55390,1387,56777,16377,119,33,51,81,38352,120,25,97,41,94,kyagulanyi
101,SHEEMA,129151,80328,2201,82529,65220,2409,343,334,866,8851,119,53,1646,138,349,yoweri
102,KIBUKU,91971,59246,1414,60660,34078,549,66,169,102,23624,79,45,188,131,215,yoweri
103,KOLE,119437,66978,3197,70175,46900,938,510,373,371,15937,468,141,447,274,619,yoweri
104,KWEEN,47080,32684,1038,33722,27467,662,46,112,47,4005,133,28,49,30,105,yoweri
105,LWENGO,139772,85418,2687,88105,36411,287,132,132,182,47742,121,32,155,64,160,kyagulanyi
106,MITOOMA,111839,66087,1711,67798,54935,1827,129,220,466,6561,101,37,1356,67,388,yoweri
107,NAPAK,56678,34543,2829,37372,32490,354,23,26,22,912,43,110,66,34,463,yoweri
108,NGORA,72976,43174,1769,44943,24662,14618,320,392,105,2237,165,67,156,184,268,yoweri
109,BUHWEJU,66649,47619,1273,48892,41423,993,159,123,325,3602,83,34,490,94,293,yoweri
